order_num,order_date,ship_date,delivery_date,customer_id,shipping_address
1nnid02jed39dn92,2019-01-19,2019-01-21,2019-01-31,5,2
9n1nd9d3n10sklso,2019-03-10,2019-03-20,2019-04-01,2,6
30dm0md94nfoqdkn,2019-06-20,2019-06-25,2019-07-02,1,5
59fn302dkdm202ms,2020-02-16,2020-02-19,2020-02-28,4,7
mo340dk03dn39014,2020-04-11,2020-04-16,2020-04-26,6,1
2292d003n30sm1pq,2020-05-09,2020-05-17,2020-05-30,3,7
02mxmene9303495d,2020-07-15,2020-07-18,2020-07-29,7,4
1jd0wm03n58fj920,2020-07-19,2020-07-30,2020-08-07,6,8
2nis0wmx03n48dnw,2020-10-22,2020-10-31,2020-11-17,5,2
93nd93n20snue8c2,2020-12-01,2020-12-14,2020-12-28,1,5
ksm9m302ms0846jd,2021-05-03,2021-05-18,2021-05-26,3,7
2nx93nf84ncm2902,2021-07-02,2021-07-15,2021-07-30,7,4
02md1nd984b9cnn3,2021-08-19,2021-08-29,2021-09-12,5,2
93nc930qjacnieie,2021-10-26,2021-10-30,2021-11-11,4,7
2n9ncwxkmsj94nfq,2021-11-13,2021-11-17,2021-12-02,2,6
